date,HDFCBANK,ICICIBANK,SBIN,TCS,INFY,WIPRO,RELIANCE,ONGC,HINDUNILVR,ITC,MARUTI,M&M,SUNPHARMA,DRREDDY,TATASTEEL,ULTRACEMCO
2025-09-15,1651.02,1238.37,843.47,4115.81,1849.16,556.88,2986.77,258.86,2490.07,466.49,12368.15,2847.47,1768.28,6783.43,161.68,11153.77
2025-09-16,1631.55,1249.98,842.02,4043.6,1774.38,541.7,3003.68,253.07,2492.38,456.14,12118.14,2800.66,1724.23,6772.97,158.18,11121.95
2025-09-17,1645.92,1253.91,850.35,4037.62,1764.25,547.31,2998.9,257.21,2519.2,462.18,12141.74,2819.55,1751.7,6851.89,159.73,11230.47
2025-09-18,1651.93,1286.15,863.7,4052.02,1807.64,558.5,3021.25,260.81,2548.47,463.99,12118.16,2849.66,1783.88,6890.22,161.23,11018.85
2025-09-19,1629.41,1259.64,842.17,3998.07,1713.35,534.74,2982.94,257.58,2517.81,454.36,11794.93,2734.45,1724.39,6940.23,155.99,10751.99
2025-09-22,1624.35,1270.87,825.45,3910.5,1684.96,527.27,2943.5,254.22,2502.85,442.57,11369.39,2705.7,1692.98,6772.02,153.02,10805.96
2025-09-23,1628.32,1274.15,814.63,3932.08,1661.74,526.32,2911.9,258.0,2476.18,440.75,11268.23,2735.36,1656.22,6779.64,153.9,10825.84
2025-09-24,1628.49,1275.21,809.45,3871.43,1673.6,526.9,2914.8,257.4,2419.85,439.42,11167.67,2733.31,1639.78,6759.97,152.44,10611.17
2025-09-25,1628.87,1301.17,800.97,3862.55,1658.88,526.63,2932.17,260.65,2422.95,442.47,11089.15,2778.0,1647.44,6794.58,150.45,10922.69
2025-09-26,1616.14,1286.47,778.57,3834.88,1653.93,511.27,2908.18,261.76,2417.99,436.39,10988.46,2735.05,1648.06,6700.72,149.24,10847.76
2025-09-29,1618.79,1279.22,792.97,3962.69,1679.37,507.22,2942.05,260.91,2459.06,445.53,11153.1,2845.77,1649.77,6783.99,151.62,10970.73
